country,clade,origin,newest,mrca,sample_oldest,par_name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
indonesia,213,2003.87(2003.48:2003.92),2007.986,2003.9236,2006.58,psi,0,0,0,0,0,0,0,0,0,0,0,0,1.81(0.0:11.76),0.16(0.0:0.99),0.16(0.0:0.85),0.62(0.08:1.59),0.83(0.09:1.9),0,0,0,0,0,0,0,0,0,0,0,
china,234,1996.09(1992.57:1996.56),2012.173,2003.4114,2006.13,R,0,0,0,0,0,0,0,0,0,0,0,0,1.46(0.01:6.24),2.37(0.21:9.33),2.13(0.41:5.76),0.4(0.0:1.19),1.13(0.14:2.89),1.69(0.32:5.21),0.83(0.21:1.76),0.52(0.09:1.29),0.1(0.0:0.48),4.87(0.0:179.34),0,0,0,0,0,0,
china,234,1996.09(1992.57:1996.56),2012.173,2003.4114,2006.13,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0.21(-0.88:1.57),0.55(-0.34:1.6),0.49(-0.2:1.35),-0.36(-0.92:0.22),0.06(-0.61:0.7),0.28(-0.29:0.95),-0.13(-0.72:0.48),-0.37(-1.03:0.26),-2.24(-4.46:-0.47),45.08(-50.79:188.95),0,0,0,0,0,0,
china,234,1996.09(1992.57:1996.56),2012.173,2003.4114,2006.13,lam,0,0,0,0,0,0,0,0,0,0,0,0,0.7(0.02:2.0),0.97(0.18:2.13),0.92(0.23:2.03),0.24(0.0:0.79),0.57(0.1:1.35),0.69(0.18:1.47),0.6(0.17:1.25),0.41(0.08:0.95),0.24(0.0:1.05),60.8(0.01:174.21),0,0,0,0,0,0,
china,234,1996.09(1992.57:1996.56),2012.173,2003.4114,2006.13,mu,0,0,0,0,0,0,0,0,0,0,0,0,0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0.25(0.0:0.88),0,0,0,0,0,0,
china,234,1996.09(1992.57:1996.56),2012.173,2003.4114,2006.13,psi,0,0,0,0,0,0,0,0,0,0,0,0,0.16(0.0:0.79),0.1(0.0:0.45),0.13(0.0:0.41),0.31(0.05:0.72),0.21(0.02:0.54),0.11(0.0:0.34),0.42(0.11:0.83),0.49(0.13:0.92),2.24(0.6:4.33),10.88(0.0:57.88),0,0,0,0,0,0,
egypt,2211a,2008.04(2006.5:2008.31),2011.567,2008.3066,2009.13,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71(0.54:5.87),1.57(0.99:3.0),0.42(0.16:0.73),0.57(0.0:2.41),0,0,0,0,0,0,0,
egypt,2211a,2008.04(2006.5:2008.31),2011.567,2008.3066,2009.13,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7(-1.0:4.86),1.6(0.35:2.88),-2.91(-4.58:-1.25),-1.92(-8.79:5.4),0,0,0,0,0,0,0,
egypt,2211a,2008.04(2006.5:2008.31),2011.567,2008.3066,2009.13,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23(0.99:9.57),4.31(1.9:8.62),2.0(0.55:5.11),2.71(0.0:8.97),0,0,0,0,0,0,0,
egypt,2211a,2008.04(2006.5:2008.31),2011.567,2008.3066,2009.13,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14(0.0:6.55),2.14(0.0:6.55),2.14(0.0:6.55),2.14(0.0:6.55),0,0,0,0,0,0,0,
egypt,2211a,2008.04(2006.5:2008.31),2011.567,2008.3066,2009.13,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15(0.0:0.85),0.51(0.11:1.07),2.69(0.87:4.64),2.16(0.06:6.47),0,0,0,0,0,0,0,
